City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Toronto,CA,2021-11-25 15:40:01,43.7001,-79.4163,46.15,93,90,1.01
232,Mehran,IR,2021-11-25 15:44:21,33.1222,46.1646,65.68,40,98,1.68
233,Khilok,RU,2021-11-25 15:44:21,51.3674,110.4676,10.42,91,83,3.83
234,Nizhniy Odes,RU,2021-11-25 15:44:21,63.6445,54.856,11.55,95,100,7.25
235,Bengkulu,ID,2021-11-25 15:44:22,-3.8004,102.2655,77.02,85,51,3.78
236,Lensk,RU,2021-11-25 15:44:22,60.7253,114.9278,0.19,100,89,3.51
237,Ambilobe,MG,2021-11-25 15:44:23,-13.2,49.05,79.86,76,83,5.46
238,Faanui,PF,2021-11-25 15:44:23,-16.4833,-151.75,81.07,78,18,15.41
239,Coquimbo,CL,2021-11-25 15:44:24,-29.9533,-71.3436,64.13,67,75,13.8
240,Zyryanka,RU,2021-11-25 15:44:24,65.75,150.85,-27.72,98,30,7.49
241,Dargaville,NZ,2021-11-25 15:44:25,-35.9333,173.8833,55.83,94,12,2.46
242,San Juan,AR,2021-11-25 15:40:37,-31.5375,-68.5364,84.94,23,0,6.02
243,Biloela,AU,2021-11-25 15:44:25,-24.4167,150.5,70.74,93,100,4.54
244,Khatanga,RU,2021-11-25 15:44:26,71.9667,102.5,-7.56,99,95,3.13
245,Meulaboh,ID,2021-11-25 15:44:26,4.1363,96.1285,78.28,84,100,3.65
246,Leninsk-Kuznetskiy,RU,2021-11-25 15:44:27,54.6567,86.1737,19.71,98,100,9.42
247,Marawi,PH,2021-11-25 15:40:23,7.9986,124.2928,67.64,94,73,1.72
248,Ormara,PK,2021-11-25 15:44:27,25.2088,64.6357,77.65,70,0,4.23
249,Olafsvik,IS,2021-11-25 15:44:28,64.8945,-23.7142,38.48,72,51,19.93
250,Chokurdakh,RU,2021-11-25 15:44:28,70.6333,147.9167,-31.09,100,40,5.35
251,San Policarpo,PH,2021-11-25 15:44:29,12.1791,125.5072,81.39,80,100,3.67
